Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId
0011g00000nAbtIAAS,,,Aloha Industries,Prospect,,347 N Pass Ave,Burbank,CA,915053859,US,,,,"{""city"":""Burbank"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""915053859"",""state"":""CA"",""street"":""347 N Pass Ave""}",347 N Pass Ave,Burbank,CA,915053859,US,,,,"{""city"":""Burbank"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""915053859"",""state"":""CA"",""street"":""347 N Pass Ave""}",(555) 395-3708,(555) 708-6860,000773044703,,/services/images/photo/0011g00000nAbtIAAS,,Banking,59936640,640,Private,,,Cold,,0051g000004BvFfAAK,2014-12-17T14:43:29.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:23.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,,2020-05-20T18:18:24.000+0000,2020-05-20T18:18:24.000+0000,,,Pending,,,,,,,,,
0011g00000nAbulAAC,,,First Chacon Finance,Prospect,,25 North Bridge Road,Singapore,1,179104,SG,,,,"{""city"":""Singapore"",""country"":""SG"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""179104"",""state"":""1"",""street"":""25 North Bridge Road""}",25 North Bridge Road,Singapore,1,179104,SG,,,,"{""city"":""Singapore"",""country"":""SG"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""179104"",""state"":""1"",""street"":""25 North Bridge Road""}",(555) 545-3042,(555) 463-8601,000207459589,,/services/images/photo/0011g00000nAbulAAC,,Finance,423183200,7600,Private,,,Cold,,0051g000004BvFfAAK,2007-01-05T14:52:53.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbumAAC,,,Precht Science,Customer - Channel,,"Av. Paseo de la Reforma no. 325, local 2, 3, 4 y 5 Col. Cuauhtemoc c.p.",Mexico City,DIF,6500,MX,,,,"{""city"":""Mexico City"",""country"":""MX"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""6500"",""state"":""DIF"",""street"":""Av. Paseo de la Reforma no. 325, local 2, 3, 4 y 5 Col. Cuauhtemoc c.p.""}","Av. Paseo de la Reforma no. 325, local 2, 3, 4 y 5 Col. Cuauhtemoc c.p.",Mexico City,DIF,6500,MX,,,,"{""city"":""Mexico City"",""country"":""MX"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""6500"",""state"":""DIF"",""street"":""Av. Paseo de la Reforma no. 325, local 2, 3, 4 y 5 Col. Cuauhtemoc c.p.""}",(555) 526-6931,(555) 839-2981,000473042102,,/services/images/photo/0011g00000nAbumAAC,,Biotechnology,230465600,3400,Public,,,Warm,,0051g000004BvFfAAK,2014-11-26T22:53:52.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbunAAC,,,Global Sobiech Communications,Other,,"358 Coddingtown Center, Bennet Valley Shopping Center",Santa Rosa,CA,95401,US,,,,"{""city"":""Santa Rosa"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95401"",""state"":""CA"",""street"":""358 Coddingtown Center, Bennet Valley Shopping Center""}","358 Coddingtown Center, Bennet Valley Shopping Center",Santa Rosa,CA,95401,US,,,,"{""city"":""Santa Rosa"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95401"",""state"":""CA"",""street"":""358 Coddingtown Center, Bennet Valley Shopping Center""}",(555) 426-9450,(555) 678-5314,000490485837,,/services/images/photo/0011g00000nAbunAAC,,Communications,-906701888,340000,Private,,,Hot,,0051g000004BvFfAAK,2013-11-02T02:23:50.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbuoAAC,,,Phann Healthcare,Channel Partner / Reseller,,1509 E Valley Parkway,Escondido,CA,920272315,US,,,,"{""city"":""Escondido"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""920272315"",""state"":""CA"",""street"":""1509 E Valley Parkway""}",1509 E Valley Parkway,Escondido,CA,920272315,US,,,,"{""city"":""Escondido"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""920272315"",""state"":""CA"",""street"":""1509 E Valley Parkway""}",(555) 998-4286,(555) 932-4682,000531422296,,/services/images/photo/0011g00000nAbuoAAC,,Healthcare,298864300,1900,Private,,,Warm,,0051g000004BvFfAAK,2016-06-20T18:16:10.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbupAAC,,,Lary University,Customer - Direct,,5857 S. Central Ave.,Los Angeles,CA,90001,US,,,,"{""city"":""Los Angeles"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90001"",""state"":""CA"",""street"":""5857 S. Central Ave.""}",5857 S. Central Ave.,Los Angeles,CA,90001,US,,,,"{""city"":""Los Angeles"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90001"",""state"":""CA"",""street"":""5857 S. Central Ave.""}",(555) 401-6668,(555) 352-1662,000455013607,,/services/images/photo/0011g00000nAbupAAC,,Education,142481360,970,Private,,,Cold,,0051g000004BvFfAAK,2017-09-23T00:56:29.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbuqAAC,,,Klopfenstein Machinery,Customer - Direct,,11-1 Befucho-Asahimachi,Kakogawa,28,675-0123,JP,,,,"{""city"":""Kakogawa"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""675-0123"",""state"":""28"",""street"":""11-1 Befucho-Asahimachi""}",11-1 Befucho-Asahimachi,Kakogawa,28,675-0123,JP,,,,"{""city"":""Kakogawa"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""675-0123"",""state"":""28"",""street"":""11-1 Befucho-Asahimachi""}",(555) 377-7908,(555) 711-3341,000650529403,,/services/images/photo/0011g00000nAbuqAAC,,Machinery,3865000,20,Other,,,Warm,,0051g000004BvFfAAK,2015-03-09T01:32:37.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAburAAC,,,Kha Chemicals,Customer - Direct,,"Deansleigh Road, Wessex Fields",Bournemouth,ENG,BH7 7DZ,GB,,,,"{""city"":""Bournemouth"",""country"":""GB"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""BH7 7DZ"",""state"":""ENG"",""street"":""Deansleigh Road, Wessex Fields""}","Deansleigh Road, Wessex Fields",Bournemouth,ENG,BH7 7DZ,GB,,,,"{""city"":""Bournemouth"",""country"":""GB"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""BH7 7DZ"",""state"":""ENG"",""street"":""Deansleigh Road, Wessex Fields""}",(555) 813-6442,(555) 547-1708,000615263419,,/services/images/photo/0011g00000nAburAAC,,Chemicals,936898000,9400,Private,,,Hot,,0051g000004BvFfAAK,2019-04-11T19:29:33.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbusAAC,,,Schwoerer County,Prospect,,"Glasgow West Nile Street, 58 Nelson Mandela Square",Glasgow,SCT,G1 2NP,GB,,,,"{""city"":""Glasgow"",""country"":""GB"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""G1 2NP"",""state"":""SCT"",""street"":""Glasgow West Nile Street, 58 Nelson Mandela Square""}","Glasgow West Nile Street, 58 Nelson Mandela Square",Glasgow,SCT,G1 2NP,GB,,,,"{""city"":""Glasgow"",""country"":""GB"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""G1 2NP"",""state"":""SCT"",""street"":""Glasgow West Nile Street, 58 Nelson Mandela Square""}",(555) 798-1770,(555) 834-7029,000683795590,,/services/images/photo/0011g00000nAbusAAC,,Government,8761770,45,Private,,,Warm,,0051g000004BvFfAAK,2010-07-17T01:12:09.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
0011g00000nAbutAAC,,,Winesberry Utilities,Customer - Channel,,"12122 N Rancho Vistoso Blvd, Oro Valley """"B"""" Rooney Ranch",Oro Valley,AZ,857551749,US,,,,"{""city"":""Oro Valley"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""857551749"",""state"":""AZ"",""street"":""12122 N Rancho Vistoso Blvd, Oro Valley \""\""B\""\"" Rooney Ranch""}","12122 N Rancho Vistoso Blvd, Oro Valley """"B"""" Rooney Ranch",Oro Valley,AZ,857551749,US,,,,"{""city"":""Oro Valley"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""857551749"",""state"":""AZ"",""street"":""12122 N Rancho Vistoso Blvd, Oro Valley \""\""B\""\"" Rooney Ranch""}",(555) 756-7622,(555) 837-2650,000911216725,,/services/images/photo/0011g00000nAbutAAC,,Utilities,803208,21,Public,,,Warm,,0051g000004BvFfAAK,2004-06-18T02:16:17.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:25.000+0000,,2020-05-20T18:18:25.000+0000,2020-05-20T18:18:25.000+0000,,,Pending,,,,,,,,,
